TRACTID,LATITUDE,LONGITUDE,WALK,BIKE,TRANSIT,DRIVE,SHORTEST
3912,44.36751142,-79.31389183,66450,22156,200000,6641,3
3913,44.38307758,-79.27321181,68818,22714,200000,6955,3
3915,44.14880135,-79.4951759,43220,14573,200000,3763,3
3928,43.7260443,-79.49864976,10290,3474,3692,2199,3
3929,43.79746599,-79.33787225,14524,5672,4005,2046,3
3930,43.76357873,-79.45116262,9733,3678,3414,2235,3
3931,43.88091364,-79.25228695,25194,7553,4739,2756,3
3932,43.82582022,-79.32138127,17700,5474,4367,2412,3
3942,44.12047372,-79.62050811,45101,13327,200000,3725,3
3948,43.81351134,-79.2970717,17502,5427,4586,2479,3
3949,43.80812704,-79.32998689,15802,6050,4569,2261,3
3950,43.80936543,-79.28431802,17786,5403,4732,2597,3
3966,43.77046726,-79.46298189,10748,3851,3010,2266,3
3967,43.75241129,-79.51450441,13022,3966,3768,2536,3
3968,43.74951333,-79.54523218,14155,4944,3772,2516,3
3969,43.74518748,-79.55452793,14692,4775,3968,2671,3
3970,43.76046868,-79.55060865,15230,5422,4303,2511,3
3972,43.82056041,-79.39140157,15042,6293,6517,2451,3
3973,43.78128159,-79.15667616,18484,5312,4658,2597,3
3991,43.635538,-79.43244558,3930,1370,1952,1396,1
3992,43.63684012,-79.42526599,3513,1189,1864,1565,1
4000,43.81073674,-79.23293703,19197,6282,4872,2561,3
4001,43.81369685,-79.26458693,18611,5692,4315,2574,3
4003,43.79074771,-79.24771761,17124,5446,4335,2326,3
4004,43.80033866,-79.23333871,17947,5900,4588,2489,3
4005,43.80569327,-79.2068942,19387,6250,4925,2459,3
4016,43.6703852,-79.40012181,782,357,732,949,1
4017,43.67489067,-79.40171563,1010,464,959,1027,1
4018,43.72625685,-79.40886764,5702,2194,1998,1697,3
4019,43.73164487,-79.41027993,6178,2336,2422,1835,3
4020,43.69106291,-79.30964465,5996,1844,1937,2029,1
4042,44.01949099,-79.74881653,44071,13353,200000,4021,3
4105,43.69676961,-79.31262197,6185,1928,2170,1872,3
4106,43.59055214,-79.53940297,11883,3459,3084,2040,3
4107,43.59442969,-79.52678905,11026,3259,4429,2073,3
4129,43.60127185,-79.63595635,16687,5072,4387,2466,3
4130,43.63747534,-79.59570424,13075,3939,3698,2248,3
4131,43.67345728,-79.75652177,26429,8279,5339,3010,3
4134,43.70724295,-79.77670307,27868,8682,6124,3029,3
4135,43.74031407,-79.79792867,30812,9888,10395,3082,3
4137,43.38399978,-79.72310035,34166,9806,13697,3148,3
4190,43.53262635,-80.03395688,50263,15556,200000,3906,3
4191,43.58705709,-79.89225078,36803,11489,200000,3271,3
4193,43.64519637,-79.88507887,35910,11268,6951,3496,3
4195,43.62935972,-80.03248323,47694,14456,12600,4044,3
4196,43.64566366,-80.04616548,48574,14592,15745,4270,3
4213,43.44784705,-79.71512431,28850,8204,16673,2647,3
4216,43.48427382,-79.70759839,26823,8196,13537,2768,3
4217,43.50900665,-79.68060222,23758,7107,6023,2477,3
4219,43.56414681,-79.61974603,17244,4958,4997,2298,3
4220,43.52074339,-79.6671452,22440,6711,6077,2483,3
4221,43.52844916,-79.66025943,21721,6531,5451,2360,3
4223,43.55548896,-79.68410876,21581,6498,6057,2748,3
4235,43.51730674,-79.86418956,35852,10798,5496,3422,3
4236,43.50608058,-79.87467298,36786,11093,200000,3596,3
4237,43.51695379,-79.88553702,37781,11413,200000,3434,3
4238,43.5272551,-79.87763785,36670,11014,5798,3290,3
